Material_type,Core_size_nm,Hydro_size_nm,Surface_charge_mV,Surface_area_m2g,Formation_enthalpy_eV,Conduction_band_eV,Valence_band_eV,Electronegativity_eV,Exposure_time_hr,Exposure_dose_ug_per_ml,Assay,Cell_name,Cell_origin,Cell_species,Cell_type,Toxicity
Mn3O4,347.0,338.0,-16.4,14.0,-8.91,-4.65,-7.63,5.92,24.0,0.0,MTT,A549,Lung,Human,Cancer,Non-Toxic
Mn3O4,347.0,338.0,-16.4,14.0,-8.91,-4.65,-7.63,5.92,24.0,1.0,MTT,A549,Lung,Human,Cancer,Non-Toxic
Mn3O4,347.0,338.0,-16.4,14.0,-8.91,-4.65,-7.63,5.92,24.0,5.0,MTT,A549,Lung,Human,Cancer,Non-Toxic
Mn3O4,347.0,338.0,-16.4,14.0,-8.91,-4.65,-7.63,5.92,24.0,10.0,MTT,A549,Lung,Human,Cancer,Non-Toxic
Mn3O4,364.0,338.0,-23.0,39.0,-8.91,-4.65,-7.63,5.92,24.0,0.0,MTT,A549,Lung,Human,Cancer,Non-Toxic
Mn3O4,364.0,338.0,-23.0,39.0,-8.91,-4.65,-7.63,5.92,24.0,1.0,MTT,A549,Lung,Human,Cancer,Non-Toxic
Mn3O4,364.0,338.0,-23.0,39.0,-8.91,-4.65,-7.63,5.92,24.0,5.0,MTT,A549,Lung,Human,Cancer,Non-Toxic
Mn3O4,364.0,338.0,-23.0,39.0,-8.91,-4.65,-7.63,5.92,24.0,10.0,MTT,A549,Lung,Human,Cancer,Non-Toxic
Mn3O4,347.0,338.0,-16.4,14.0,-8.91,-4.65,-7.63,5.92,24.0,0.0,MTT,HT-29,Colon,Human,Cancer,Non-Toxic
Mn3O4,347.0,338.0,-16.4,14.0,-8.91,-4.65,-7.63,5.92,24.0,1.0,MTT,HT-29,Colon,Human,Cancer,Non-Toxic
Mn3O4,347.0,338.0,-16.4,14.0,-8.91,-4.65,-7.63,5.92,24.0,5.0,MTT,HT-29,Colon,Human,Cancer,Non-Toxic
Mn3O4,347.0,338.0,-16.4,14.0,-8.91,-4.65,-7.63,5.92,24.0,10.0,MTT,HT-29,Colon,Human,Cancer,Non-Toxic
Mn3O4,364.0,338.0,-23.0,39.0,-8.91,-4.65,-7.63,5.92,24.0,0.0,MTT,HT-29,Colon,Human,Cancer,Non-Toxic
Mn3O4,364.0,338.0,-23.0,39.0,-8.91,-4.65,-7.63,5.92,24.0,1.0,MTT,HT-29,Colon,Human,Cancer,Non-Toxic
Mn3O4,364.0,338.0,-23.0,39.0,-8.91,-4.65,-7.63,5.92,24.0,5.0,MTT,HT-29,Colon,Human,Cancer,Non-Toxic
Mn3O4,364.0,338.0,-23.0,39.0,-8.91,-4.65,-7.63,5.92,24.0,10.0,MTT,HT-29,Colon,Human,Cancer,Non-Toxic
TiO2,21.03,398.55,-8.9,89.01,-9.779,-4.16,-7.49,5.77,24.0,0.0,CCK-8,HASMCs,Aorta,Human,Normal,Non-Toxic
TiO2,21.03,398.55,-8.9,89.01,-9.779,-4.16,-7.49,5.77,24.0,4.0,CCK-8,HASMCs,Aorta,Human,Normal,Non-Toxic
TiO2,21.03,398.55,-8.9,89.01,-9.779,-4.16,-7.49,5.77,24.0,8.0,CCK-8,HASMCs,Aorta,Human,Normal,Non-Toxic
TiO2,21.03,398.55,-8.9,89.01,-9.779,-4.16,-7.49,5.77,24.0,16.0,CCK-8,HASMCs,Aorta,Human,Normal,Non-Toxic
TiO2,21.03,398.55,-8.9,89.01,-9.779,-4.16,-7.49,5.77,24.0,32.0,CCK-8,HASMCs,Aorta,Human,Normal,Non-Toxic
TiO2,21.03,398.55,-8.9,89.01,-9.779,-4.16,-7.49,5.77,24.0,64.0,CCK-8,HASMCs,Aorta,Human,Normal,Non-Toxic
TiO2,21.03,398.55,-8.9,89.01,-9.779,-4.16,-7.49,5.77,24.0,0.0,Neutral red,HASMCs,Aorta,Human,Normal,Non-Toxic
TiO2,21.03,398.55,-8.9,89.01,-9.779,-4.16,-7.49,5.77,24.0,4.0,Neutral red,HASMCs,Aorta,Human,Normal,Non-Toxic
TiO2,21.03,398.55,-8.9,89.01,-9.779,-4.16,-7.49,5.77,24.0,8.0,Neutral red,HASMCs,Aorta,Human,Normal,Non-Toxic
TiO2,21.03,398.55,-8.9,89.01,-9.779,-4.16,-7.49,5.77,24.0,16.0,Neutral red,HASMCs,Aorta,Human,Normal,Non-Toxic
TiO2,21.03,398.55,-8.9,89.01,-9.779,-4.16,-7.49,5.77,24.0,32.0,Neutral red,HASMCs,Aorta,Human,Normal,Non-Toxic
TiO2,21.03,398.55,-8.9,89.01,-9.779,-4.16,-7.49,5.77,24.0,64.0,Neutral red,HASMCs,Aorta,Human,Normal,Non-Toxic
ZnO,51.76,241.15,-6.3,17.6,-3.608,-3.89,-7.2,5.67,24.0,0.0,CCK-8,HASMCs,Aorta,Human,Normal,Non-Toxic
ZnO,51.76,241.15,-6.3,17.6,-3.608,-3.89,-7.2,5.67,24.0,4.0,CCK-8,HASMCs,Aorta,Human,Normal,Non-Toxic
ZnO,51.76,241.15,-6.3,17.6,-3.608,-3.89,-7.2,5.67,24.0,8.0,CCK-8,HASMCs,Aorta,Human,Normal,Non-Toxic
ZnO,51.76,241.15,-6.3,17.6,-3.608,-3.89,-7.2,5.67,24.0,16.0,CCK-8,HASMCs,Aorta,Human,Normal,Non-Toxic
ZnO,51.76,241.15,-6.3,17.6,-3.608,-3.89,-7.2,5.67,24.0,32.0,CCK-8,HASMCs,Aorta,Human,Normal,Toxic
ZnO,51.76,241.15,-6.3,17.6,-3.608,-3.89,-7.2,5.67,24.0,64.0,CCK-8,HASMCs,Aorta,Human,Normal,Toxic
ZnO,51.76,241.15,-6.3,17.6,-3.608,-3.89,-7.2,5.67,24.0,0.0,Neutral red,HASMCs,Aorta,Human,Normal,Non-Toxic
ZnO,51.76,241.15,-6.3,17.6,-3.608,-3.89,-7.2,5.67,24.0,4.0,Neutral red,HASMCs,Aorta,Human,Normal,Non-Toxic
ZnO,51.76,241.15,-6.3,17.6,-3.608,-3.89,-7.2,5.67,24.0,8.0,Neutral red,HASMCs,Aorta,Human,Normal,Non-Toxic
ZnO,51.76,241.15,-6.3,17.6,-3.608,-3.89,-7.2,5.67,24.0,16.0,Neutral red,HASMCs,Aorta,Human,Normal,Non-Toxic
ZnO,51.76,241.15,-6.3,17.6,-3.608,-3.89,-7.2,5.67,24.0,32.0,Neutral red,HASMCs,Aorta,Human,Normal,Toxic
ZnO,51.76,241.15,-6.3,17.6,-3.608,-3.89,-7.2,5.67,24.0,64.0,Neutral red,HASMCs,Aorta,Human,Normal,Toxic
CuO,46.0,146.0,-13.1,17.2,-1.609,-5.17,-6.51,5.87,24.0,1.0,CFA,A549,Lung,Human,Cancer,Non-Toxic
CuO,46.0,146.0,-13.1,17.2,-1.609,-5.17,-6.51,5.87,24.0,5.0,CFA,A549,Lung,Human,Cancer,Non-Toxic
CuO,46.0,146.0,-13.1,17.2,-1.609,-5.17,-6.51,5.87,24.0,10.0,CFA,A549,Lung,Human,Cancer,Non-Toxic
CuO,46.0,146.0,-13.1,17.2,-1.609,-5.17,-6.51,5.87,24.0,15.0,CFA,A549,Lung,Human,Cancer,Non-Toxic
CuO,46.0,146.0,-13.1,17.2,-1.609,-5.17,-6.51,5.87,24.0,17.5,CFA,A549,Lung,Human,Cancer,Non-Toxic
TiO2,24.0,400.0,-12.0,46.0,-9.779,-4.16,-7.49,5.77,24.0,1.0,CFA,A549,Lung,Human,Cancer,Non-Toxic
TiO2,24.0,400.0,-12.0,46.0,-9.779,-4.16,-7.49,5.77,24.0,7.5,CFA,A549,Lung,Human,Cancer,Non-Toxic
TiO2,24.0,400.0,-12.0,46.0,-9.779,-4.16,-7.49,5.77,24.0,25.0,CFA,A549,Lung,Human,Cancer,Non-Toxic
Fe3O4,16.8,1540.0,33.6,56.0,-11.59,-5.0,-6.85,5.78,24.0,0.0,CellTilter-Glo,Caco-2,Colon,Human,Cancer,Non-Toxic
Fe3O4,16.8,1540.0,33.6,56.0,-11.59,-5.0,-6.85,5.78,24.0,100.0,CellTilter-Glo,Caco-2,Colon,Human,Cancer,Non-Toxic
Fe3O4,16.8,1540.0,33.6,56.0,-11.59,-5.0,-6.85,5.78,24.0,200.0,CellTilter-Glo,Caco-2,Colon,Human,Cancer,Non-Toxic
Fe3O4,16.8,1540.0,33.6,56.0,-11.59,-5.0,-6.85,5.78,24.0,400.0,CellTilter-Glo,Caco-2,Colon,Human,Cancer,Non-Toxic
Fe3O4,16.8,1540.0,33.6,56.0,-11.59,-5.0,-6.85,5.78,24.0,600.0,CellTilter-Glo,Caco-2,Colon,Human,Cancer,Non-Toxic
Fe3O4,16.8,1540.0,33.6,56.0,-11.59,-5.0,-6.85,5.78,24.0,0.0,CellTilter-Glo,HEK293,Kidney,Human,Normal,Non-Toxic
Fe3O4,16.8,1540.0,33.6,56.0,-11.59,-5.0,-6.85,5.78,24.0,100.0,CellTilter-Glo,HEK293,Kidney,Human,Normal,Non-Toxic
Fe3O4,16.8,1540.0,33.6,56.0,-11.59,-5.0,-6.85,5.78,24.0,200.0,CellTilter-Glo,HEK293,Kidney,Human,Normal,Non-Toxic
Fe3O4,16.8,1540.0,33.6,56.0,-11.59,-5.0,-6.85,5.78,24.0,400.0,CellTilter-Glo,HEK293,Kidney,Human,Normal,Non-Toxic
Fe3O4,16.8,1540.0,33.6,56.0,-11.59,-5.0,-6.85,5.78,24.0,600.0,CellTilter-Glo,HEK293,Kidney,Human,Normal,Non-Toxic
TiO2,21.0,477.7,-10.1,29.96,-9.779,-4.16,-7.49,5.77,48.0,0.0,Flow cytometry,Fibroblast,Lung,Human,Normal,Non-Toxic
TiO2,21.0,477.7,-10.1,29.96,-9.779,-4.16,-7.49,5.77,48.0,10.0,Flow cytometry,Fibroblast,Lung,Human,Normal,Non-Toxic
TiO2,21.0,477.7,-10.1,29.96,-9.779,-4.16,-7.49,5.77,48.0,46.4,Flow cytometry,Fibroblast,Lung,Human,Normal,Non-Toxic
TiO2,21.0,477.7,-10.1,29.96,-9.779,-4.16,-7.49,5.77,48.0,100.0,Flow cytometry,Fibroblast,Lung,Human,Normal,Non-Toxic
TiO2,21.0,477.7,-10.1,29.96,-9.779,-4.16,-7.49,5.77,48.0,0.0,Flow cytometry,Keratinocyte,Skin,Human,Normal,Non-Toxic
TiO2,21.0,477.7,-10.1,29.96,-9.779,-4.16,-7.49,5.77,48.0,10.0,Flow cytometry,Keratinocyte,Skin,Human,Normal,Non-Toxic
TiO2,21.0,477.7,-10.1,29.96,-9.779,-4.16,-7.49,5.77,48.0,46.4,Flow cytometry,Keratinocyte,Skin,Human,Normal,Non-Toxic
TiO2,21.0,477.7,-10.1,29.96,-9.779,-4.16,-7.49,5.77,48.0,100.0,Flow cytometry,Keratinocyte,Skin,Human,Normal,Non-Toxic
CuO,28.0,125.0,-8.96,23.2,-1.609,-5.17,-6.51,5.87,1.0,50.0,MTT,RAW264.7,Blood,Mouse,Cancer,Non-Toxic
CuO,28.0,125.0,-8.96,23.2,-1.609,-5.17,-6.51,5.87,1.0,25.0,MTT,RAW264.7,Blood,Mouse,Cancer,Non-Toxic
CuO,28.0,125.0,-8.96,23.2,-1.609,-5.17,-6.51,5.87,1.0,10.0,MTT,RAW264.7,Blood,Mouse,Cancer,Non-Toxic
CuO,28.0,125.0,-8.96,23.2,-1.609,-5.17,-6.51,5.87,3.0,50.0,MTT,RAW264.7,Blood,Mouse,Cancer,Non-Toxic
CuO,28.0,125.0,-8.96,23.2,-1.609,-5.17,-6.51,5.87,3.0,25.0,MTT,RAW264.7,Blood,Mouse,Cancer,Non-Toxic
CuO,28.0,125.0,-8.96,23.2,-1.609,-5.17,-6.51,5.87,3.0,10.0,MTT,RAW264.7,Blood,Mouse,Cancer,Non-Toxic
CuO,28.0,125.0,-8.96,23.2,-1.609,-5.17,-6.51,5.87,6.0,50.0,MTT,RAW264.7,Blood,Mouse,Cancer,Non-Toxic
CuO,28.0,125.0,-8.96,23.2,-1.609,-5.17,-6.51,5.87,6.0,25.0,MTT,RAW264.7,Blood,Mouse,Cancer,Non-Toxic
CuO,28.0,125.0,-8.96,23.2,-1.609,-5.17,-6.51,5.87,6.0,10.0,MTT,RAW264.7,Blood,Mouse,Cancer,Non-Toxic
CuO,28.0,125.0,-8.96,23.2,-1.609,-5.17,-6.51,5.87,12.0,50.0,MTT,RAW264.7,Blood,Mouse,Cancer,Non-Toxic
CuO,28.0,125.0,-8.96,23.2,-1.609,-5.17,-6.51,5.87,12.0,25.0,MTT,RAW264.7,Blood,Mouse,Cancer,Non-Toxic
