Material_type,Core_size_nm,Hydro_size_nm,Surface_charge_mV,Surface_area_m2g,Formation_enthalpy_eV,Conduction_band_eV,Valence_band_eV,Electronegativity_eV,Exposure_time_hr,Exposure_dose_ug_per_ml,Assay,Cell_name,Cell_origin,Cell_species,Cell_type,Toxicity
TiO2,21.03,398.55,-8.9,89.01,-9.779,-4.16,-7.49,5.77,24.0,0.0,CCK-8,HASMCs,Aorta,Human,Normal,Non-Toxic
TiO2,21.03,398.55,-8.9,89.01,-9.779,-4.16,-7.49,5.77,24.0,4.0,CCK-8,HASMCs,Aorta,Human,Normal,Non-Toxic
TiO2,21.03,398.55,-8.9,89.01,-9.779,-4.16,-7.49,5.77,24.0,8.0,CCK-8,HASMCs,Aorta,Human,Normal,Non-Toxic
TiO2,21.03,398.55,-8.9,89.01,-9.779,-4.16,-7.49,5.77,24.0,16.0,CCK-8,HASMCs,Aorta,Human,Normal,Non-Toxic
TiO2,21.03,398.55,-8.9,89.01,-9.779,-4.16,-7.49,5.77,24.0,32.0,CCK-8,HASMCs,Aorta,Human,Normal,Non-Toxic
TiO2,21.03,398.55,-8.9,89.01,-9.779,-4.16,-7.49,5.77,24.0,64.0,CCK-8,HASMCs,Aorta,Human,Normal,Non-Toxic
TiO2,21.03,398.55,-8.9,89.01,-9.779,-4.16,-7.49,5.77,24.0,0.0,Neutral red,HASMCs,Aorta,Human,Normal,Non-Toxic
TiO2,21.03,398.55,-8.9,89.01,-9.779,-4.16,-7.49,5.77,24.0,4.0,Neutral red,HASMCs,Aorta,Human,Normal,Non-Toxic
TiO2,21.03,398.55,-8.9,89.01,-9.779,-4.16,-7.49,5.77,24.0,8.0,Neutral red,HASMCs,Aorta,Human,Normal,Non-Toxic
TiO2,21.03,398.55,-8.9,89.01,-9.779,-4.16,-7.49,5.77,24.0,16.0,Neutral red,HASMCs,Aorta,Human,Normal,Non-Toxic
TiO2,21.03,398.55,-8.9,89.01,-9.779,-4.16,-7.49,5.77,24.0,32.0,Neutral red,HASMCs,Aorta,Human,Normal,Non-Toxic
TiO2,21.03,398.55,-8.9,89.01,-9.779,-4.16,-7.49,5.77,24.0,64.0,Neutral red,HASMCs,Aorta,Human,Normal,Non-Toxic
ZnO,51.76,241.15,-6.3,17.6,-3.608,-3.89,-7.2,5.67,24.0,0.0,CCK-8,HASMCs,Aorta,Human,Normal,Non-Toxic
ZnO,51.76,241.15,-6.3,17.6,-3.608,-3.89,-7.2,5.67,24.0,4.0,CCK-8,HASMCs,Aorta,Human,Normal,Non-Toxic
ZnO,51.76,241.15,-6.3,17.6,-3.608,-3.89,-7.2,5.67,24.0,8.0,CCK-8,HASMCs,Aorta,Human,Normal,Non-Toxic
ZnO,51.76,241.15,-6.3,17.6,-3.608,-3.89,-7.2,5.67,24.0,16.0,CCK-8,HASMCs,Aorta,Human,Normal,Non-Toxic
ZnO,51.76,241.15,-6.3,17.6,-3.608,-3.89,-7.2,5.67,24.0,32.0,CCK-8,HASMCs,Aorta,Human,Normal,Toxic
ZnO,51.76,241.15,-6.3,17.6,-3.608,-3.89,-7.2,5.67,24.0,64.0,CCK-8,HASMCs,Aorta,Human,Normal,Toxic
ZnO,51.76,241.15,-6.3,17.6,-3.608,-3.89,-7.2,5.67,24.0,0.0,Neutral red,HASMCs,Aorta,Human,Normal,Non-Toxic
ZnO,51.76,241.15,-6.3,17.6,-3.608,-3.89,-7.2,5.67,24.0,4.0,Neutral red,HASMCs,Aorta,Human,Normal,Non-Toxic
ZnO,51.76,241.15,-6.3,17.6,-3.608,-3.89,-7.2,5.67,24.0,8.0,Neutral red,HASMCs,Aorta,Human,Normal,Non-Toxic
ZnO,51.76,241.15,-6.3,17.6,-3.608,-3.89,-7.2,5.67,24.0,16.0,Neutral red,HASMCs,Aorta,Human,Normal,Non-Toxic
ZnO,51.76,241.15,-6.3,17.6,-3.608,-3.89,-7.2,5.67,24.0,32.0,Neutral red,HASMCs,Aorta,Human,Normal,Toxic
ZnO,51.76,241.15,-6.3,17.6,-3.608,-3.89,-7.2,5.67,24.0,64.0,Neutral red,HASMCs,Aorta,Human,Normal,Toxic
CuO,46.0,146.0,-13.1,17.2,-1.609,-5.17,-6.51,5.87,24.0,1.0,CFA,A549,Lung,Human,Cancer,Non-Toxic
CuO,46.0,146.0,-13.1,17.2,-1.609,-5.17,-6.51,5.87,24.0,5.0,CFA,A549,Lung,Human,Cancer,Non-Toxic
CuO,46.0,146.0,-13.1,17.2,-1.609,-5.17,-6.51,5.87,24.0,10.0,CFA,A549,Lung,Human,Cancer,Non-Toxic
CuO,46.0,146.0,-13.1,17.2,-1.609,-5.17,-6.51,5.87,24.0,15.0,CFA,A549,Lung,Human,Cancer,Non-Toxic
